,N3n_LON,N3n_LAT,N3n_DATE,N3n_NAME,P_l_LON,P_l_LAT,P_l_DATE,P_l_NAME,O2o_LON,O2o_LAT,O2o_DATE,O2o_NAME
58,30.951,33.02,2017-02-25 00:00:00,6901773,17.597,36.67,2017-01-26 00:00:00,6901771,6.004,42.464,2017-01-25 00:00:00,6902687
59,10.512,40.813,2017-02-27 00:00:00,6901767,17.845,41.364,2017-01-26 00:00:00,6903197,16.758,41.571,2017-01-25 00:00:00,6903178
60,10.304,39.173,2017-02-28 00:00:00,6901769,30.415,34.074,2017-01-26 00:00:00,6901764,10.114,39.856,2017-01-26 00:00:00,6903180
61,17.13,35.333,2017-02-28 00:00:00,6903153,3.99,42.576,2017-01-27 00:00:00,6901864,17.597,36.67,2017-01-26 00:00:00,6901771
62,26.74,33.138,2017-02-28 00:00:00,6901770,7.813,41.993,2017-01-27 00:00:00,6902733,17.845,41.364,2017-01-26 00:00:00,6903197
63,16.78,41.555,2017-03-01 00:00:00,6903178,18.443,38.909,2017-01-27 00:00:00,6901863,30.415,34.074,2017-01-26 00:00:00,6901764
64,9.848,39.106,2017-03-02 00:00:00,6903180,18.557,38.12,2017-01-28 00:00:00,6901862,7.813,41.993,2017-01-27 00:00:00,6902733
65,17.67,36.716,2017-03-02 00:00:00,6901771,21.255,36.654,2017-01-28 00:00:00,6901768,25.724,33.995,2017-01-27 00:00:00,6903204
66,29.974,34.527,2017-03-02 00:00:00,6901764,30.871,32.984,2017-01-28 00:00:00,6901773,4.809,41.113,2017-01-28 00:00:00,6902688
67,31.024,32.987,2017-03-04 00:00:00,6901773,29.777,34.006,2017-01-29 00:00:00,6901766,21.255,36.654,2017-01-28 00:00:00,6901768
68,17.164,35.413,2017-03-05 00:00:00,6903153,4.689,39.075,2017-01-30 00:00:00,6902732,30.871,32.984,2017-01-28 00:00:00,6901773
69,10.487,40.819,2017-03-06 00:00:00,6901767,10.435,40.699,2017-01-30 00:00:00,6901767,16.84,34.813,2017-01-29 00:00:00,6903153
70,16.785,41.557,2017-03-06 00:00:00,6903178,23.484,34.3,2017-01-30 00:00:00,6901765,5.921,42.515,2017-01-30 00:00:00,6902687
71,9.728,39.06,2017-03-07 00:00:00,6903180,10.623,39.431,2017-01-31 00:00:00,6901769,10.435,40.699,2017-01-30 00:00:00,6901767
72,10.26,39.0,2017-03-07 00:00:00,6901769,17.726,41.416,2017-01-31 00:00:00,6903197,23.484,34.3,2017-01-30 00:00:00,6901765
73,26.557,33.308,2017-03-07 00:00:00,6901770,26.586,33.069,2017-01-31 00:00:00,6901770,10.064,39.773,2017-01-31 00:00:00,6903180
74,26.158,34.246,2017-03-08 00:00:00,6903204,3.851,42.36,2017-02-01 00:00:00,6901864,10.623,39.431,2017-01-31 00:00:00,6901769
75,17.533,36.677,2017-03-09 00:00:00,6901771,18.194,39.063,2017-02-01 00:00:00,6901863,17.726,41.416,2017-01-31 00:00:00,6903197
76,29.639,34.572,2017-03-09 00:00:00,6901764,17.507,36.657,2017-02-02 00:00:00,6901771,26.586,33.069,2017-01-31 00:00:00,6901770
77,7.884,42.683,2017-03-10 00:00:00,6902733,18.531,38.655,2017-02-02 00:00:00,6901862,25.726,33.916,2017-02-01 00:00:00,6903204
78,17.22,35.58,2017-03-10 00:00:00,6903153,30.527,34.104,2017-02-02 00:00:00,6901764,4.838,41.1,2017-02-02 00:00:00,6902688
79,16.791,41.55,2017-03-11 00:00:00,6903178,7.901,42.095,2017-02-03 00:00:00,6902733,17.507,36.657,2017-02-02 00:00:00,6901771
