,N3n_LON,N3n_LAT,N3n_DATE,N3n_NAME,Qc
140,29.05,34.68,2017-04-13 00:00:00,6901764,1.0
141,5.255,41.695,2017-04-15 00:00:00,6902687,-9999.0
142,20.628,36.236,2017-04-15 00:00:00,6901768,1.0
143,30.772,33.267,2017-04-15 00:00:00,6901773,2.0
144,9.055,38.581,2017-04-16 00:00:00,6903180,-9999.0
145,29.292,32.953,2017-04-16 00:00:00,6901766,2.0
146,33.86,32.617,2017-04-16 00:00:00,6903222,-9999.0
147,10.268,40.495,2017-04-17 00:00:00,6901767,1.0
148,22.599,35.695,2017-04-17 00:00:00,6901765,1.0
149,25.54,33.225,2017-04-17 00:00:00,6903204,-9999.0
150,5.438,41.544,2017-04-20 00:00:00,6902687,-9999.0
151,17.151,37.153,2017-04-20 00:00:00,6901771,1.0
152,28.912,34.681,2017-04-20 00:00:00,6901764,1.0
153,7.948,42.453,2017-04-21 00:00:00,6902733,1.0
154,8.852,38.51,2017-04-21 00:00:00,6903180,-9999.0
155,33.736,32.553,2017-04-21 00:00:00,6903222,-9999.0
156,20.352,36.391,2017-04-22 00:00:00,6901768,1.0
157,25.59,33.377,2017-04-22 00:00:00,6903204,-9999.0
158,31.189,33.166,2017-04-22 00:00:00,6901773,2.0
159,29.256,32.793,2017-04-23 00:00:00,6901766,2.0
160,10.216,40.478,2017-04-24 00:00:00,6901767,1.0
161,22.396,35.697,2017-04-24 00:00:00,6901765,1.0
162,5.487,41.489,2017-04-25 00:00:00,6902687,-9999.0
163,9.831,38.682,2017-04-25 00:00:00,6901769,1.0
164,33.642,32.642,2017-04-26 00:00:00,6903222,-9999.0
165,17.179,37.281,2017-04-27 00:00:00,6901771,1.0
166,25.339,33.55,2017-04-27 00:00:00,6903204,-9999.0
167,28.826,34.639,2017-04-27 00:00:00,6901764,1.0
168,20.324,36.572,2017-04-29 00:00:00,6901768,1.0
169,31.011,33.118,2017-04-29 00:00:00,6901773,2.0
170,5.624,41.537,2017-04-30 00:00:00,6902687,-9999.0
171,16.807,41.512,2017-04-30 00:00:00,6903178,-9999.0
172,29.346,32.953,2017-04-30 00:00:00,6901766,2.0
173,10.218,40.511,2017-05-01 00:00:00,6901767,1.0
174,22.203,35.613,2017-05-01 00:00:00,6901765,1.0
175,33.549,32.647,2017-05-01 00:00:00,6903222,-9999.0
176,26.929,34.281,2017-05-02 00:00:00,6901770,1.0
177,17.341,37.406,2017-05-04 00:00:00,6901771,1.0
178,28.849,34.513,2017-05-04 00:00:00,6901764,1.0
179,5.88,41.469,2017-05-05 00:00:00,6902687,-9999.0
180,20.538,36.652,2017-05-06 00:00:00,6901768,1.0
181,30.735,33.214,2017-05-06 00:00:00,6901773,2.0
182,33.518,32.661,2017-05-06 00:00:00,6903222,-9999.0
183,25.79,33.783,2017-05-07 00:00:00,6903204,-9999.0
184,29.707,32.918,2017-05-07 00:00:00,6901766,2.0
185,10.217,40.528,2017-05-08 00:00:00,6901767,1.0
186,22.095,35.558,2017-05-08 00:00:00,6901765,1.0
187,16.596,35.751,2017-05-09 00:00:00,6903153,-9999.0
188,26.992,34.088,2017-05-09 00:00:00,6901770,1.0
189,6.167,41.449,2017-05-10 00:00:00,6902687,-9999.0
190,17.63,37.444,2017-05-11 00:00:00,6901771,1.0
191,28.976,34.443,2017-05-11 00:00:00,6901764,1.0
192,8.188,42.426,2017-05-12 00:00:00,6902733,1.0
193,25.49,34.175,2017-05-12 00:00:00,6903204,-9999.0
194,20.688,36.403,2017-05-13 00:00:00,6901768,1.0
195,30.732,33.187,2017-05-13 00:00:00,6901773,2.0
196,30.05,33.087,2017-05-14 00:00:00,6901766,2.0
197,10.231,40.479,2017-05-15 00:00:00,6901767,1.0
198,22.042,35.573,2017-05-15 00:00:00,6901765,1.0
199,26.891,34.111,2017-05-16 00:00:00,6901770,1.0
200,33.498,32.577,2017-05-16 00:00:00,6903222,-9999.0
201,25.535,34.001,2017-05-17 00:00:00,6903204,-9999.0
202,17.763,37.788,2017-05-18 00:00:00,6901771,1.0
203,28.975,34.54,2017-05-18 00:00:00,6901764,1.0
204,17.708,37.827,2017-05-19 00:00:00,6901771,1.0
205,17.67,37.848,2017-05-20 00:00:00,6901771,1.0
206,20.41,36.317,2017-05-20 00:00:00,6901768,1.0
207,17.641,37.847,2017-05-21 00:00:00,6901771,1.0
208,30.358,32.953,2017-05-21 00:00:00,6901766,2.0
209,33.444,32.578,2017-05-21 00:00:00,6903222,-9999.0
210,10.2,40.386,2017-05-22 00:00:00,6901767,1.0
211,17.601,37.838,2017-05-22 00:00:00,6901771,1.0
212,21.875,35.738,2017-05-22 00:00:00,6901765,1.0
213,25.59,33.916,2017-05-22 00:00:00,6903204,-9999.0
214,17.574,37.829,2017-05-23 00:00:00,6901771,1.0
215,14.634,39.439,2017-05-24 00:00:00,6903225,-9999.0
216,28.791,34.543,2017-05-25 00:00:00,6901764,1.0
217,33.418,32.561,2017-05-26 00:00:00,6903222,-9999.0
218,19.869,35.413,2017-05-27 00:00:00,6902828,-9999.0
219,20.187,36.408,2017-05-27 00:00:00,6901768,1.0
220,25.801,33.808,2017-05-27 00:00:00,6903204,-9999.0
221,31.148,33.349,2017-05-27 00:00:00,6901773,2.0
222,19.883,35.411,2017-05-28 00:00:00,6902828,-9999.0
223,30.098,32.844,2017-05-28 00:00:00,6901766,2.0
224,10.184,40.292,2017-05-29 00:00:00,6901767,1.0
225,19.918,35.411,2017-05-29 00:00:00,6902828,-9999.0
226,21.486,35.829,2017-05-29 00:00:00,6901765,1.0
227,19.957,35.414,2017-05-30 00:00:00,6902828,-9999.0
228,26.612,34.316,2017-05-30 00:00:00,6901770,1.0
229,20.002,35.429,2017-05-31 00:00:00,6902828,-9999.0
230,33.474,32.543,2017-05-31 00:00:00,6903222,-9999.0
231,20.052,35.443,2017-06-01 00:00:00,6902828,-9999.0
232,25.874,33.98,2017-06-01 00:00:00,6903204,-9999.0
233,20.091,35.469,2017-06-02 00:00:00,6902828,-9999.0
234,20.126,36.469,2017-06-03 00:00:00,6901768,1.0
235,31.235,33.387,2017-06-03 00:00:00,6901773,2.0
236,20.161,35.552,2017-06-04 00:00:00,6902828,-9999.0
237,29.784,32.863,2017-06-04 00:00:00,6901766,2.0
238,10.225,40.323,2017-06-05 00:00:00,6901767,1.0
239,20.229,35.642,2017-06-05 00:00:00,6902828,-9999.0
240,21.303,36.021,2017-06-05 00:00:00,6901765,1.0
241,33.578,32.507,2017-06-05 00:00:00,6903222,-9999.0
242,20.308,35.783,2017-06-06 00:00:00,6902828,-9999.0
243,25.848,33.832,2017-06-06 00:00:00,6903204,-9999.0
244,26.601,34.496,2017-06-06 00:00:00,6901770,1.0
245,15.139,39.716,2017-06-07 00:00:00,6903225,-9999.0
246,20.36,35.965,2017-06-08 00:00:00,6902828,-9999.0
247,20.0,36.378,2017-06-10 00:00:00,6901768,1.0
248,20.327,36.079,2017-06-10 00:00:00,6902828,-9999.0
249,33.647,32.472,2017-06-10 00:00:00,6903222,-9999.0
250,20.269,36.097,2017-06-11 00:00:00,6902828,-9999.0
251,25.612,33.863,2017-06-11 00:00:00,6903204,-9999.0
252,29.373,32.684,2017-06-11 00:00:00,6901766,2.0
253,10.204,40.384,2017-06-12 00:00:00,6901767,1.0
254,15.402,39.738,2017-06-12 00:00:00,6903225,-9999.0
255,20.187,36.097,2017-06-12 00:00:00,6902828,-9999.0
256,21.265,36.138,2017-06-12 00:00:00,6901765,1.0
257,20.098,36.061,2017-06-13 00:00:00,6902828,-9999.0
258,26.596,34.593,2017-06-13 00:00:00,6901770,1.0
259,20.039,35.991,2017-06-14 00:00:00,6902828,-9999.0
260,20.035,35.923,2017-06-15 00:00:00,6902828,-9999.0
261,33.679,32.512,2017-06-15 00:00:00,6903222,-9999.0
262,20.071,35.888,2017-06-16 00:00:00,6902828,-9999.0
263,19.742,36.22,2017-06-17 00:00:00,6901768,1.0
264,20.135,35.89,2017-06-17 00:00:00,6902828,-9999.0
265,31.097,33.273,2017-06-17 00:00:00,6901773,2.0
266,20.218,35.931,2017-06-18 00:00:00,6902828,-9999.0
267,20.296,35.997,2017-06-19 00:00:00,6902828,-9999.0
268,21.302,36.287,2017-06-19 00:00:00,6901765,1.0
269,20.369,36.069,2017-06-20 00:00:00,6902828,-9999.0
270,26.59,34.627,2017-06-20 00:00:00,6901770,1.0
271,33.645,32.529,2017-06-20 00:00:00,6903222,-9999.0
272,20.419,36.11,2017-06-21 00:00:00,6902828,-9999.0
273,25.805,34.037,2017-06-21 00:00:00,6903204,-9999.0
274,20.463,36.14,2017-06-22 00:00:00,6902828,-9999.0
275,20.506,36.162,2017-06-23 00:00:00,6902828,-9999.0
276,19.728,36.357,2017-06-24 00:00:00,6901768,1.0
277,20.544,36.177,2017-06-24 00:00:00,6902828,-9999.0
278,30.9,33.204,2017-06-24 00:00:00,6901773,2.0
279,20.574,36.178,2017-06-25 00:00:00,6902828,-9999.0
280,33.61,32.583,2017-06-25 00:00:00,6903222,-9999.0
281,10.151,40.313,2017-06-26 00:00:00,6901767,1.0
282,20.584,36.177,2017-06-26 00:00:00,6902828,-9999.0
283,21.4,36.4,2017-06-26 00:00:00,6901765,1.0
284,9.606,38.331,2017-06-27 00:00:00,6901769,1.0
285,20.6,36.173,2017-06-27 00:00:00,6902828,-9999.0
286,26.571,34.625,2017-06-27 00:00:00,6901770,8.0
287,20.613,36.157,2017-06-28 00:00:00,6902828,-9999.0
288,20.647,36.146,2017-06-29 00:00:00,6902828,-9999.0
289,8.489,42.74,2017-06-30 00:00:00,6902733,1.0
290,20.682,36.14,2017-06-30 00:00:00,6902828,-9999.0
291,19.837,36.493,2017-07-01 00:00:00,6901768,1.0
292,20.704,36.128,2017-07-01 00:00:00,6902828,-9999.0
293,25.729,33.902,2017-07-01 00:00:00,6903204,-9999.0
294,30.893,33.052,2017-07-01 00:00:00,6901773,2.0
295,20.727,36.111,2017-07-02 00:00:00,6902828,-9999.0
296,29.276,32.634,2017-07-02 00:00:00,6901766,2.0
297,10.187,40.315,2017-07-03 00:00:00,6901767,1.0
298,20.744,36.073,2017-07-03 00:00:00,6902828,-9999.0
299,21.482,36.474,2017-07-03 00:00:00,6901765,1.0
