,N3n_LON,N3n_LAT,N3n_DATE,N3n_NAME,P_l_LON,P_l_LAT,P_l_DATE,P_l_NAME,O2o_LON,O2o_LAT,O2o_DATE,O2o_NAME
66,34.191,33.263,2019-02-09 00:00:00,6901773,26.118,33.526,2019-01-14 00:00:00,6902898,7.036,40.053,2019-01-25 00:00:00,6902804
67,7.647,42.484,2019-02-11 00:00:00,6902901,26.832,34.246,2019-01-14 00:00:00,6903247,12.661,39.262,2019-01-25 00:00:00,6902903
68,9.879,39.989,2019-02-11 00:00:00,6903238,3.946,40.803,2019-01-15 00:00:00,6902803,23.319,34.635,2019-01-25 00:00:00,6901775
69,17.83,34.654,2019-02-11 00:00:00,6903237,7.108,39.939,2019-01-15 00:00:00,6902804,27.355,34.797,2019-01-25 00:00:00,6902900
70,28.846,35.206,2019-02-11 00:00:00,6902904,7.299,42.998,2019-01-15 00:00:00,6902901,34.109,33.213,2019-01-26 00:00:00,6901773
71,16.164,37.809,2019-02-12 00:00:00,6903249,15.482,36.136,2019-01-15 00:00:00,6902826,6.331,39.324,2019-01-27 00:00:00,6901774
72,24.007,39.494,2019-02-12 00:00:00,6903283,26.057,33.495,2019-01-15 00:00:00,6902898,7.153,42.894,2019-01-27 00:00:00,6902901
73,7.745,42.471,2019-02-14 00:00:00,6902901,7.486,39.82,2019-01-16 00:00:00,6901657,17.654,42.022,2019-01-27 00:00:00,6903250
74,27.286,35.249,2019-02-14 00:00:00,6902872,26.014,33.459,2019-01-16 00:00:00,6902898,17.865,34.914,2019-01-27 00:00:00,6903237
75,28.194,34.026,2019-02-14 00:00:00,6901764,27.378,34.856,2019-01-16 00:00:00,6902900,17.34,38.926,2019-01-28 00:00:00,6903249
76,28.83,35.205,2019-02-14 00:00:00,6902904,28.662,35.184,2019-01-16 00:00:00,6902904,21.499,36.404,2019-01-28 00:00:00,6901772
77,12.648,39.263,2019-02-15 00:00:00,6902903,10.215,40.3,2019-01-17 00:00:00,6903238,27.36,34.774,2019-01-28 00:00:00,6902900
78,27.273,34.907,2019-02-15 00:00:00,6902900,17.789,41.809,2019-01-17 00:00:00,6903250,26.833,34.164,2019-01-29 00:00:00,6903247
79,17.896,34.594,2019-02-16 00:00:00,6903237,18.021,35.102,2019-01-17 00:00:00,6903237,27.559,35.097,2019-01-29 00:00:00,6902872
80,34.271,33.316,2019-02-16 00:00:00,6901773,25.959,33.421,2019-01-17 00:00:00,6902898,4.012,40.85,2019-01-30 00:00:00,6902803
81,7.77,42.504,2019-02-17 00:00:00,6902901,7.244,42.979,2019-01-18 00:00:00,6902901,6.952,40.105,2019-01-30 00:00:00,6902804
82,15.642,37.668,2019-02-17 00:00:00,6903249,12.684,39.265,2019-01-18 00:00:00,6902903,7.367,39.814,2019-01-30 00:00:00,6901657
83,24.152,39.733,2019-02-17 00:00:00,6903283,15.507,37.322,2019-01-18 00:00:00,6901862,27.349,34.78,2019-01-31 00:00:00,6902900
84,28.143,34.044,2019-02-17 00:00:00,6901764,17.413,39.503,2019-01-18 00:00:00,6903249,12.638,39.262,2019-02-01 00:00:00,6902903
85,28.868,35.243,2019-02-17 00:00:00,6902904,23.309,34.659,2019-01-18 00:00:00,6901775,17.65,41.709,2019-02-01 00:00:00,6903250
86,27.155,34.892,2019-02-18 00:00:00,6902900,23.669,39.513,2019-01-18 00:00:00,6903283,17.837,34.849,2019-02-01 00:00:00,6903237
87,27.198,35.252,2019-02-18 00:00:00,6902872,25.928,33.394,2019-01-18 00:00:00,6902898,23.291,34.658,2019-02-01 00:00:00,6901775
88,7.743,42.533,2019-02-20 00:00:00,6902901,28.595,34.007,2019-01-18 00:00:00,6901764,7.28,42.718,2019-02-02 00:00:00,6902901
89,28.074,34.077,2019-02-20 00:00:00,6901764,25.907,33.341,2019-01-19 00:00:00,6902898,17.084,38.553,2019-02-02 00:00:00,6903249
90,17.939,34.579,2019-02-21 00:00:00,6903237,26.824,34.239,2019-01-19 00:00:00,6903247,23.729,39.254,2019-02-02 00:00:00,6903283
