,lon,lat,time,name,ID
182,28.9,35.166,2019-02-08 00:00:00,6902902,6902902
183,3.952,40.511,2019-02-09 00:00:00,6902803,6902803
184,6.914,40.251,2019-02-09 00:00:00,6902804,6902804
185,25.952,33.329,2019-02-09 00:00:00,6902898,6902898
186,27.354,34.865,2019-02-09 00:00:00,6902900,6902900
187,34.191,33.263,2019-02-09 00:00:00,6901773,6901773
188,5.776,39.346,2019-02-10 00:00:00,6901774,6901774
189,7.647,42.484,2019-02-11 00:00:00,6902901,6902901
190,9.879,39.989,2019-02-11 00:00:00,6903238,6903238
191,17.83,34.654,2019-02-11 00:00:00,6903237,6903237
192,17.901,41.293,2019-02-11 00:00:00,6903250,6903250
193,21.364,36.505,2019-02-11 00:00:00,6901772,6901772
194,28.214,34.01,2019-02-11 00:00:00,6901764,6901764
195,28.846,35.206,2019-02-11 00:00:00,6902904,6902904
196,28.908,35.171,2019-02-11 00:00:00,6902902,6902902
197,15.681,36.626,2019-02-12 00:00:00,6901862,6901862
198,16.164,37.809,2019-02-12 00:00:00,6903249,6903249
199,24.007,39.494,2019-02-12 00:00:00,6903283,6903283
200,25.873,33.339,2019-02-12 00:00:00,6902898,6902898
201,27.323,34.882,2019-02-12 00:00:00,6902900,6902900
202,7.228,39.802,2019-02-13 00:00:00,6901657,6901657
203,26.678,34.565,2019-02-13 00:00:00,6903247,6903247
204,4.005,40.489,2019-02-14 00:00:00,6902803,6902803
205,6.933,40.4,2019-02-14 00:00:00,6902804,6902804
206,7.745,42.471,2019-02-14 00:00:00,6902901,6902901
207,27.286,35.249,2019-02-14 00:00:00,6902872,6902872
208,28.194,34.026,2019-02-14 00:00:00,6901764,6901764
209,28.83,35.205,2019-02-14 00:00:00,6902904,6902904
210,28.915,35.172,2019-02-14 00:00:00,6902902,6902902
211,12.648,39.263,2019-02-15 00:00:00,6902903,6902903
212,23.398,34.641,2019-02-15 00:00:00,6901775,6901775
213,25.843,33.371,2019-02-15 00:00:00,6902898,6902898
214,27.273,34.907,2019-02-15 00:00:00,6902900,6902900
215,17.896,34.594,2019-02-16 00:00:00,6903237,6903237
216,18.004,41.705,2019-02-16 00:00:00,6903250,6903250
217,34.271,33.316,2019-02-16 00:00:00,6901773,6901773
218,5.323,39.651,2019-02-17 00:00:00,6901774,6901774
219,7.77,42.504,2019-02-17 00:00:00,6902901,6902901
220,15.642,37.668,2019-02-17 00:00:00,6903249,6903249
221,15.822,36.617,2019-02-17 00:00:00,6901862,6901862
222,24.152,39.733,2019-02-17 00:00:00,6903283,6903283
223,28.143,34.044,2019-02-17 00:00:00,6901764,6901764
224,28.868,35.243,2019-02-17 00:00:00,6902904,6902904
225,28.916,35.21,2019-02-17 00:00:00,6902902,6902902
226,21.281,36.499,2019-02-18 00:00:00,6901772,6901772
227,23.451,34.621,2019-02-18 00:00:00,6901775,6901775
228,25.902,33.431,2019-02-18 00:00:00,6902898,6902898
229,26.875,34.665,2019-02-18 00:00:00,6903247,6903247
230,27.155,34.892,2019-02-18 00:00:00,6902900,6902900
231,27.198,35.252,2019-02-18 00:00:00,6902872,6902872
232,4.09,40.505,2019-02-19 00:00:00,6902803,6902803
233,6.95,40.532,2019-02-19 00:00:00,6902804,6902804
234,7.176,39.736,2019-02-20 00:00:00,6901657,6901657
235,7.743,42.533,2019-02-20 00:00:00,6902901,6902901
236,28.074,34.077,2019-02-20 00:00:00,6901764,6901764
237,28.938,35.268,2019-02-20 00:00:00,6902904,6902904
238,28.955,35.248,2019-02-20 00:00:00,6902902,6902902
239,17.939,34.579,2019-02-21 00:00:00,6903237,6903237
240,17.976,41.404,2019-02-21 00:00:00,6903250,6903250
241,23.442,34.644,2019-02-21 00:00:00,6901775,6901775
242,25.952,33.478,2019-02-21 00:00:00,6902898,6902898
243,27.107,34.905,2019-02-21 00:00:00,6902900,6902900
244,12.697,39.287,2019-02-22 00:00:00,6902903,6902903
245,15.447,37.536,2019-02-22 00:00:00,6903249,6903249
246,15.923,36.654,2019-02-22 00:00:00,6901862,6901862
247,24.247,40.147,2019-02-22 00:00:00,6903283,6903283
248,27.14,35.213,2019-02-22 00:00:00,6902872,6902872
249,7.749,42.498,2019-02-23 00:00:00,6902901,6902901
250,27.078,34.678,2019-02-23 00:00:00,6903247,6903247
251,28.02,34.102,2019-02-23 00:00:00,6901764,6901764
252,29.0,35.32,2019-02-23 00:00:00,6902904,6902904
253,29.019,35.303,2019-02-23 00:00:00,6902902,6902902
254,34.448,33.357,2019-02-23 00:00:00,6901773,6901773
255,4.258,40.368,2019-02-24 00:00:00,6902803,6902803
256,5.274,39.927,2019-02-24 00:00:00,6901774,6901774
257,7.032,40.631,2019-02-24 00:00:00,6902804,6902804
258,23.413,34.682,2019-02-24 00:00:00,6901775,6901775
259,25.949,33.501,2019-02-24 00:00:00,6902898,6902898
260,27.049,34.95,2019-02-24 00:00:00,6902900,6902900
261,27.076,35.189,2019-02-24 00:00:00,6902872,6902872
262,28.055,34.119,2019-02-24 00:00:00,6901764,6901764
263,21.293,36.523,2019-02-25 00:00:00,6901772,6901772
264,28.103,34.129,2019-02-25 00:00:00,6901764,6901764
265,7.828,42.41,2019-02-26 00:00:00,6902901,6902901
266,17.947,34.594,2019-02-26 00:00:00,6903237,6903237
267,17.989,41.317,2019-02-26 00:00:00,6903250,6903250
268,27.042,35.141,2019-02-26 00:00:00,6902872,6902872
269,28.145,34.138,2019-02-26 00:00:00,6901764,6901764
270,29.011,35.379,2019-02-26 00:00:00,6902904,6902904
271,29.073,35.347,2019-02-26 00:00:00,6902902,6902902
272,7.163,39.721,2019-02-27 00:00:00,6901657,6901657
273,15.436,37.255,2019-02-27 00:00:00,6903249,6903249
274,16.139,36.663,2019-02-27 00:00:00,6901862,6901862
275,23.42,34.742,2019-02-27 00:00:00,6901775,6901775
276,24.172,40.136,2019-02-27 00:00:00,6903283,6903283
277,25.857,33.502,2019-02-27 00:00:00,6902898,6902898
278,26.981,34.974,2019-02-27 00:00:00,6902900,6902900
279,28.207,34.132,2019-02-27 00:00:00,6901764,6901764
280,27.249,34.7,2019-02-28 00:00:00,6903247,6903247
281,28.267,34.113,2019-02-28 00:00:00,6901764,6901764
282,29.175,35.572,2019-02-28 00:00:00,6902874,6902874
283,4.432,40.4,2019-03-01 00:00:00,6902803,6902803
284,7.209,40.593,2019-03-01 00:00:00,6902804,6902804
285,7.898,42.32,2019-03-01 00:00:00,6902901,6902901
286,12.669,39.342,2019-03-01 00:00:00,6902903,6902903
287,28.317,34.085,2019-03-01 00:00:00,6901764,6901764
288,28.995,35.444,2019-03-01 00:00:00,6902904,6902904
289,29.073,35.386,2019-03-01 00:00:00,6902902,6902902
290,23.393,34.77,2019-03-02 00:00:00,6901775,6901775
291,25.674,33.492,2019-03-02 00:00:00,6902898,6902898
292,26.941,34.92,2019-03-02 00:00:00,6902900,6902900
293,28.357,34.07,2019-03-02 00:00:00,6901764,6901764
294,29.142,35.607,2019-03-02 00:00:00,6902874,6902874
295,34.493,33.351,2019-03-02 00:00:00,6901773,6901773
296,5.825,40.134,2019-03-03 00:00:00,6901774,6901774
297,10.077,39.545,2019-03-03 00:00:00,6903238,6903238
298,17.88,34.548,2019-03-03 00:00:00,6903237,6903237
299,18.381,41.241,2019-03-03 00:00:00,6903250,6903250
300,28.386,34.058,2019-03-03 00:00:00,6901764,6901764
301,7.948,42.255,2019-03-04 00:00:00,6902901,6902901
302,15.534,36.816,2019-03-04 00:00:00,6903249,6903249
303,16.318,36.729,2019-03-04 00:00:00,6901862,6901862
304,21.196,36.628,2019-03-04 00:00:00,6901772,6901772
305,24.211,40.094,2019-03-04 00:00:00,6903283,6903283
306,26.888,35.125,2019-03-04 00:00:00,6902872,6902872
307,28.413,34.06,2019-03-04 00:00:00,6901764,6901764
308,28.992,35.437,2019-03-04 00:00:00,6902904,6902904
309,29.061,35.365,2019-03-04 00:00:00,6902902,6902902
310,29.108,35.642,2019-03-04 00:00:00,6902874,6902874
311,23.348,34.839,2019-03-05 00:00:00,6901775,6901775
312,25.471,33.457,2019-03-05 00:00:00,6902898,6902898
